Sampler:TPESampler
(36, 217, 15), 60.0
(0, 100, 239), 49.0
(68, 258, 257), 56.0
(71, 253, 7), 44.0
(81, 261, 82), 68.0
(12, 267, 24), 52.0
(38, 292, 38), None
(49, 230, 31), 48.0
(60, 290, 30), 42.0
(21, 242, 129), 64.0
(283, 247, 136), 56.0
(32, 235, 41), 40.0
(44, 299, 13), 40.0
(18, 274, 56), 70.0
(25, 250, 150), 46.0
(43, 282, 24), 48.0
(14, 262, 123), 48.0
(26, 251, 4), 47.0
(63, 210, 109), 42.0
(52, 256, 21), 42.0
(54, 285, 25), 36.0
(50, 290, 15), 50.0
(38, 283, 93), 56.0
(50, 295, 34), 54.0
(58, 241, 24), 40.0
(129, 279, 8), 54.0
(41, 292, 30), 40.0
(33, 227, 17), 40.0
(19, 270, 121), 50.0
(55, 288, 36), 72.0
(7, 259, 113), 60.0
(231, 299, 102), 56.0
(46, 243, 11), 56.0
(28, 136, 24), 64.0
(14, 253, 40), 42.0
(63, 277, 65), 48.0
(35, 267, 125), 46.0
(53, 285, 19), 52.0
(207, 234, 28), 40.0
(73, 246, 131), 72.0
(21, 189, 117), 52.0
(41, 221, 3), 56.0
(7, 261, 46), 60.0
(30, 272, 14), 50.0
(47, 254, 34), 54.0
(14, 47, 23), 56.0
(62, 238, 287), 44.0
(37, 249, 10), 44.0
(24, 294, 107), 72.0
(0, 265, 31), 49.0
(17, 280, 247), 48.0
(57, 242, 19), 72.0
(176, 258, 71), 60.0
(31, 34, 137), 70.0
(11, 288, 40), 48.0
(242, 251, 128), 50.0
(43, 271, 114), 44.0
(27, 299, 26), 56.0
(67, 229, 87), 52.0
(36, 264, 119), 49.0
(51, 152, 296), 52.0
(6, 244, 15), 48.0
(21, 284, 47), 74.0
(57, 256, 52), 76.0
(28, 237, 33), 72.0
(46, 276, 21), 50.0
(74, 248, 27), 42.0
(17, 293, 122), 40.0
(35, 260, 39), 48.0
(6, 232, 8), 42.0
(85, 269, 58), 44.0
(41, 254, 109), 54.0
(22, 243, 101), 54.0
(108, 281, 16), 54.0
(52, 263, 260), 58.0
(63, 288, 127), 62.0
(13, 117, 180), 66.0
(32, 249, 252), 46.0
(27, 276, 2), 48.0
(134, 238, 22), 46.0
(0, 258, 95), 40.0
(71, 179, 42), 50.0
(37, 295, 30), 68.0
(10, 267, 116), 46.0
(57, 251, 36), 62.0
(46, 221, 15), 50.0
(272, 243, 8), 44.0
(19, 256, 133), 80.0
(40, 227, 245), 80.0
(78, 288, 25), 40.0
(25, 272, 81), 50.0
(187, 261, 203), 80.0
(66, 282, 154), 48.0
(158, 234, 139), 76.0
(32, 125, 162), 66.0
(197, 246, 11), 44.0
(290, 252, 50), 50.0
(11, 294, 20), 40.0
(51, 238, 125), 52.0
(17, 266, 113), 78.0
(60, 257, 30), 48.0
(43, 277, 265), 42.0
(27, 299, 40), 52.0
(4, 247, 62), 84.0
(36, 68, 25), 48.0
(24, 286, 104), 36.0
(22, 286, 191), 52.0
(30, 291, 121), 44.0
(24, 281, 102), 38.0
(14, 284, 107), 48.0
(146, 279, 89), 52.0
(115, 289, 104), 40.0
(17, 294, 96), 54.0
(23, 273, 75), 40.0
(31, 279, 103), 48.0
(54, 238, 33), 64.0
(23, 282, 97), 38.0
(9, 286, 95), 44.0
(18, 291, 111), 56.0
(7, 284, 102), 50.0
(70, 262, 117), 50.0
(0, 268, 18), 45.0
(34, 230, 122), 46.0
(38, 206, 44), 48.0
(48, 107, 0), 59.0
(27, 277, 84), 56.0
(17, 299, 109), 70.0
(11, 272, 92), 50.0
(216, 292, 130), 56.0
(64, 286, 111), 44.0
(21, 263, 98), 34.0
(30, 251, 11), 58.0
(21, 278, 98), 36.0
(15, 275, 88), 48.0
(18, 268, 91), 44.0
(22, 285, 97), 40.0
(24, 273, 107), 72.0
(9, 261, 96), 48.0
(30, 145, 69), 69.0
(34, 267, 54), 55.0
(22, 279, 100), 46.0
(43, 294, 27), 46.0
(21, 289, 104), 58.0
(10, 279, 102), 50.0
(26, 283, 89), 72.0
(38, 272, 98), 52.0
(24, 280, 99), 38.0
(30, 265, 37), 42.0
(6, 255, 116), 46.0
(16, 277, 95), 58.0
(59, 282, 107), 44.0
(49, 18, 251), 40.0
(0, 261, 116), 40.0
(15, 258, 110), 74.0
(41, 214, 18), 46.0
(25, 272, 103), 52.0
(21, 289, 87), 50.0
